no,category,asset_name,filename,left,top,right,bottom,width,height
1,hero,hero_full_scrapbook_composition,01_hero_full_scrapbook_composition.png,185,10,775,330,590,320
2,hero,hero_note_card,02_hero_note_card.png,40,82,276,300,236,218
3,hero,hero_main_paper_sign,03_hero_main_paper_sign.png,205,22,720,325,515,303
4,hero,hero_ai_for_good_badge,04_hero_ai_for_good_badge.png,665,218,772,322,107,104
5,hero,polaroid_frame_01,05_polaroid_frame_01.png,780,55,970,287,190,232
6,hero,polaroid_frame_02,06_polaroid_frame_02.png,948,42,1148,288,200,246
7,hero,sticker_herai_gallery_2026,07_sticker_herai_gallery_2026.png,1175,18,1378,162,203,144
8,hero,badge_ai_for_good_top_right,08_badge_ai_for_good_top_right.png,1390,10,1532,142,142,132
9,hero,sticker_built_by_women_for_impact,09_sticker_built_by_women_for_impact.png,1215,145,1418,278,203,133
10,hero,sticker_ideas_create_change,10_sticker_ideas_create_change.png,1400,145,1525,282,125,137
11,hero,banner_herai_innovation_gallery_2026,11_banner_herai_innovation_gallery_2026.png,22,345,432,412,410,67
12,flowers,flower_branch_far_left,12_flower_branch_far_left.png,0,72,118,292,118,220
13,flowers,flower_branch_upper_left,13_flower_branch_upper_left.png,142,0,225,136,83,136
14,flowers,flower_large_center_left,14_flower_large_center_left.png,252,145,355,322,103,177
15,flowers,flower_cluster_hero_right_edge,15_flower_cluster_hero_right_edge.png,625,130,710,282,85,152
16,flowers,flower_branch_right_01,16_flower_branch_right_01.png,1190,292,1315,548,125,256
17,flowers,flower_branch_right_02,17_flower_branch_right_02.png,1282,320,1400,565,118,245
18,flowers,flower_small_top_right,18_flower_small_top_right.png,1322,282,1405,365,83,83
19,flowers,flower_large_top_right,19_flower_large_top_right.png,1410,282,1520,390,110,108
20,flowers,flower_petal_mid_right,20_flower_petal_mid_right.png,1390,382,1468,462,78,80
21,flowers,flower_large_bottom_right,21_flower_large_bottom_right.png,1395,442,1520,574,125,132
22,flowers,daisy_bottom,22_daisy_bottom.png,340,882,432,995,92,113
23,flowers,small_flower_bottom,23_small_flower_bottom.png,665,887,742,965,77,78
24,flowers,leaf_pack_bottom_right,24_leaf_pack_bottom_right.png,1270,910,1395,1024,125,114
25,flowers,petal_pack_bottom_right,25_petal_pack_bottom_right.png,1385,900,1536,1024,151,124
26,tapes_papers,tape_pink_dots_01,26_tape_pink_dots_01.png,782,302,912,357,130,55
27,tapes_papers,tape_lavender_dots,27_tape_lavender_dots.png,902,300,1053,360,151,60
28,tapes_papers,tape_pink_checkered,28_tape_pink_checkered.png,1060,302,1184,360,124,58
29,tapes_papers,tape_pink_dots_02,29_tape_pink_dots_02.png,782,345,915,408,133,63
30,tapes_papers,tape_pink_texture,30_tape_pink_texture.png,905,345,1058,408,153,63
31,tapes_papers,tape_cream,31_tape_cream.png,1060,348,1175,410,115,62
32,tapes_papers,paper_cream_torn,32_paper_cream_torn.png,780,398,915,465,135,67
33,tapes_papers,paper_pink_torn,33_paper_pink_torn.png,905,398,1063,476,158,78
34,tapes_papers,lined_note_with_paperclip,34_lined_note_with_paperclip.png,1065,388,1195,542,130,154
35,tapes_papers,paper_lavender_torn,35_paper_lavender_torn.png,780,452,915,560,135,108
36,tapes_papers,paper_grid_pink,36_paper_grid_pink.png,905,460,1080,560,175,100
37,tapes_papers,tape_bottom_pink_pattern_01,37_tape_bottom_pink_pattern_01.png,386,770,525,838,139,68
38,tapes_papers,tape_bottom_pink_pattern_02,38_tape_bottom_pink_pattern_02.png,495,770,617,840,122,70
39,tapes_papers,tape_bottom_red_pink,39_tape_bottom_red_pink.png,560,770,695,845,135,75
40,tapes_papers,paper_bottom_cream,40_paper_bottom_cream.png,385,825,550,905,165,80
41,tapes_papers,paper_bottom_lavender,41_paper_bottom_lavender.png,555,825,705,905,150,80
42,tapes_papers,swatch_bottom_cream_01,42_swatch_bottom_cream_01.png,610,918,765,1015,155,97
43,tapes_papers,swatch_bottom_pink_01,43_swatch_bottom_pink_01.png,770,918,905,1012,135,94
44,tapes_papers,swatch_bottom_cream_02,44_swatch_bottom_cream_02.png,890,918,1030,1015,140,97
45,tapes_papers,swatch_bottom_pink_02,45_swatch_bottom_pink_02.png,1020,918,1170,1012,150,94
46,tapes_papers,swatch_bottom_lavender_02,46_swatch_bottom_lavender_02.png,1155,918,1285,1012,130,94
47,doodles,heart_outline_top,47_heart_outline_top.png,748,10,825,78,77,68
48,doodles,sparkle_top,48_sparkle_top.png,1135,24,1190,98,55,74
49,doodles,heart_doodle_center,49_heart_doodle_center.png,315,402,392,478,77,76
50,doodles,sparkle_cluster_center,50_sparkle_cluster_center.png,390,400,510,480,120,80
51,doodles,arrow_scribble_center,51_arrow_scribble_center.png,548,352,765,458,217,106
52,doodles,wavy_line_center,52_wavy_line_center.png,325,442,525,515,200,73
53,doodles,flower_crown_doodle,53_flower_crown_doodle.png,315,492,438,565,123,73
54,doodles,dot_grid_01,54_dot_grid_01.png,468,482,565,565,97,83
55,doodles,dot_grid_02,55_dot_grid_02.png,570,482,690,565,120,83
56,doodles,paper_plane_doodle,56_paper_plane_doodle.png,15,880,135,1018,120,138
57,doodles,yellow_crown_doodle,57_yellow_crown_doodle.png,255,880,335,965,80,85
58,doodles,paperclips_pair,58_paperclips_pair.png,435,872,560,985,125,113
59,doodles,pushpins_pair,59_pushpins_pair.png,550,870,690,975,140,105
60,doodles,yellow_sparkle_bottom,60_yellow_sparkle_bottom.png,218,935,288,1018,70,83
61,ui,button_submit_edit,61_button_submit_edit.png,16,410,305,482,289,72
